catagory,action-link-href,name,company,rate,privacy-policy-link-href
Music & audio,https://assistant.google.com/services/a/uid/0000008156284cb9,Forest Fantasy,Menocal Apps,4.5,https://octaviomenocalcordero.wordpress.com/2018/10/04/forest-fantasy-privacy-policy/
Games & fun,https://assistant.google.com/services/a/uid/000000400fb09c23,Lizard Spock,Menocal Apps,4.1,https://octaviomenocalcordero.wordpress.com/2019/04/16/lizard-spock-for-google-assistant-privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/0000008438b03079,home keeper,,0,https://ofekp.dynu.net/legal.html
Smart home,https://assistant.google.com/services/a/uid/000000c33b31982b,Midea Air,Midea air conditioner,1.4,https://openapi-global.midea.com/v1/open/oauth2/softwareLicense4google
Education & reference,https://assistant.google.com/services/a/uid/0000005208099fb4,Resistor Decoder,orlopau,5,https://orlopau.dev/dialogflow_resistor_calculator/privacy/en.html
Travel & transportation,https://assistant.google.com/services/a/uid/0000009add8e6a07,Oslo City Bike,Urban Sharing AS,3.8,https://oslobysykkel.no/en/terms/2018
Productivity,https://assistant.google.com/services/a/uid/0000009d78e5a8bd,Recruiter Lisa,Param.ai,4.8,https://param.ai/privacy/
Health & fitness,https://assistant.google.com/services/a/uid/0000006869f03b27,CrossFit Marin,"Peck, Inc.",1,https://peck.me/privacy
Weather,https://assistant.google.com/services/a/uid/0000009a7238035a,Drought Tracker,"Peck, Inc.",4.1,https://peck.me/privacy
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000020602536fd,Life Family Podcast,"Peck, Inc.",0,https://peck.me/privacy
Smart home,https://assistant.google.com/services/a/uid/00000084cfd9f5d5,Picostone Home,Picostone,5,https://picostone.com/legal.php
Smart home,https://assistant.google.com/services/a/uid/000000da7f27760b,Picostone Smart Home,Picostone,0,https://picostone.com/legal.php
Music & audio,https://assistant.google.com/services/a/uid/000000874bc74329,Astiga,Koenvh,3.8,https://play.asti.ga/privacy.html
Smart home,https://assistant.google.com/services/a/uid/00000062a8cddc68,Danale Smart Life,danale.inc,4.1,https://policies.danale.com/policies/privacy/index_en-US.html
News & magazines,https://assistant.google.com/services/a/uid/000000f2151fad08,Transport Topics,Transport Topics,4.7,https://policies.dev.spokenlayer.net/privacy-policy/google-action/transport-topics
Travel & transportation,https://assistant.google.com/services/a/uid/00000027d36a2670,Nearest Station,Home Enterprise Test,5,https://policies.google.com/privacy
News & magazines,https://assistant.google.com/services/a/uid/0000006a0aacf3d9,Tell Me Something Good,Google,4.2,https://policies.google.com/privacy
News & magazines,https://assistant.google.com/services/a/uid/000000ca07c87261,Engadget,,4,https://policies.oath.com/us/en/oath/privacy/index.html
Productivity,https://assistant.google.com/services/a/uid/00000087ded63b80,Yahoo,Yahoo,4.4,https://policies.oath.com/us/en/oath/privacy/index.html
News & magazines,https://assistant.google.com/services/a/uid/000000f24276d997,Arkansas Democrat Gazette,Arkansas Democrat Gazette,0,https://policies.spokenlayer.net/privacy-policy/google-action/arkansas-democrat-gazette
News & magazines,https://assistant.google.com/services/a/uid/000000fcb1e008af,Baltimore Sun,Baltimore Sun,5,https://policies.spokenlayer.net/privacy-policy/google-action/baltimore-sun
News & magazines,https://assistant.google.com/services/a/uid/00000041a9526663,New York Daily News,New York Daily News,5,https://policies.spokenlayer.net/privacy-policy/google-action/new-york-daily-news
News & magazines,https://assistant.google.com/services/a/uid/0000006d66fc84ac,Seattle Times,The Seattle Times Company,0,https://policies.spokenlayer.net/privacy-policy/google-action/seattle-times
News & magazines,https://assistant.google.com/services/a/uid/000000d3ade82273,Sun Sentinel,Tribune Publishing Company,0,https://policies.spokenlayer.net/privacy-policy/google-action/sun-sentinel
Smart home,https://assistant.google.com/services/a/uid/0000009c33928adb,Smart Plus,TECH Sterowniki,0,https://polypipe.emodul.eu/policy/polypipe
Travel & transportation,https://assistant.google.com/services/a/uid/00000054698f63a3,Bus Uncle,Bus Uncle Company (Pte. Ltd.),3.4,https://pp.botscrew.com/privacy-policy/243
Shopping,https://assistant.google.com/services/a/uid/0000000bd65222ff,NDTV Pricee,Red Pixels Ventures Limited,4.8,https://pricee.com/privacy.html
Business & finance,https://assistant.google.com/services/a/uid/00000060e9a97d88,Crypto Voice,Princeberk Ltd.,5,https://princeberk.com/privacy-policy/
Sports,https://assistant.google.com/services/a/uid/0000002468b2d41e,NBA All Star Game Voting,Google Inc.,4,https://privacy.google.com/
Kids & family,https://assistant.google.com/services/a/uid/00000038fc54337b,Animal Trivia,Google Inc.,4.2,https://privacy.google.com/#
Kids & family,https://assistant.google.com/services/a/uid/00000095eeab9bfc,What Fruit Are You,Google Inc.,4.1,https://privacy.google.com/#
Kids & family,https://assistant.google.com/services/a/uid/000000e09a6422cc,What's Your Inner Animal,Google Inc.,4.1,https://privacy.google.com/#
Kids & family,https://assistant.google.com/services/a/uid/0000002723a42f3a,What's Your Nickname,Google Inc.,4,https://privacy.google.com/#
Kids & family,https://assistant.google.com/services/a/uid/000000febc80bcc8,What's Your Planet,Google Inc.,4.2,https://privacy.google.com/#
Business & finance,https://assistant.google.com/services/a/uid/0000004959deaf0a,Insights with Microsoft,Geoffrey Colon,3,https://privacy.microsoft.com/en-US/privacystatement
Smart home,https://assistant.google.com/services/a/uid/0000009508eaf6e8,Xbox,Microsoft Corporation,4,https://privacy.microsoft.com/en-us/privacystatement
Kids & family,https://assistant.google.com/services/a/uid/000000b2b228a953,Frozen Stories,Disney,4.4,https://privacy.thewaltdisneycompany.com/
Games & fun,https://assistant.google.com/services/a/uid/000000d28ebaf7a7,Mickeys Game Show,Disney,4,https://privacy.thewaltdisneycompany.com/
Games & fun,https://assistant.google.com/services/a/uid/000000b0e7c569dc,Toy Story Freeze Dance,Disney,3.3,https://privacy.thewaltdisneycompany.com/
"Movies, photos & TV",https://assistant.google.com/services/a/uid/00000017e0e968ba,FX Networks,FX Networks,0,https://privacy.thewaltdisneycompany.com/en/
News & magazines,https://assistant.google.com/services/a/uid/00000014359df5a5,fox4kc,Tribune Media,3.7,https://privacy.trb.tv/
News & magazines,https://assistant.google.com/services/a/uid/000000802b85c500,KTLA,Tribune Media,4.4,https://privacy.trb.tv/
News & magazines,https://assistant.google.com/services/a/uid/0000002b12756b28,PIX 11,Tribune Media Company,4.3,https://privacy.trb.tv/
Travel & transportation,https://assistant.google.com/services/a/uid/000000361c04b8d2,Alfred's Chatbot,,2.5,https://privacypolicies.com/privacy/view/b1465080d7f262167b4d477c230fb4e2
Smart home,https://assistant.google.com/services/a/uid/000000133deb2e98,Prodigy Home,Prodigy Smart Home,5,https://prodigysmarthome.com/privacy.html
Business & finance,https://assistant.google.com/services/a/uid/000000e926731112,Programmeroo,Programmeroo,4.2,https://programmeroo.com/terms
Productivity,https://assistant.google.com/services/a/uid/000000f31c0f688f,LJ Hooker Concierge,Realm Australia Pty Limited,0,https://propertyrealm.com.au/privacy/
Productivity,https://assistant.google.com/services/a/uid/000000831e0036f0,The Agency Concierge,Realm Australia Pty Limited,0,https://propertyrealm.com.au/privacy/
Sports,https://assistant.google.com/services/a/uid/000000a8e28f5c69,Quarter4,Quarter4 Inc.,0,https://quarter4.io/privacypolicy
Sports,https://assistant.google.com/services/a/uid/0000004f59702977,Racenet,Racing Internet Services Pty Ltd,0,https://racenet.zendesk.com/hc/en-us/articles/115000944431-Privacy-policy
Food & drink,https://assistant.google.com/services/a/uid/000000badf09d6bc,Recipe Folder,,4.2,https://recipe-folder.com/privacy
Food & drink,https://assistant.google.com/services/a/uid/0000007b8e2eddba,Handoff Delivery,Handoff,5,https://register.handofftech.com/v2/privacy
Smart home,https://assistant.google.com/services/a/uid/000000a25bc3a8f8,Proflame Connect,Sit group,0,https://registration.proflameconnect.com/terms.html
Smart home,https://assistant.google.com/services/a/uid/000000c34f3be6a6,Firefly Home,Firefly Home,5,https://remote.firefly-home.io/privacy
Weather,https://assistant.google.com/services/a/uid/000000a35e5ba055,rivers.run,Tucker Willenborg,4,https://rivers.run/legal/Privacy%20Policy.html
Local,https://assistant.google.com/services/a/uid/0000009ee7c5ccfb,RNLI Near Me,Greenwood Campbell,4.7,https://rnli.org/footer/privacy-and-security
Smart home,https://assistant.google.com/services/a/uid/0000001d4f0de59a,Robonect lawn mower,Michael Eckel,4.4,https://robonect.michael-eckel.de/google.php?page=privacypolicy
Education & reference,https://assistant.google.com/services/a/uid/000000c5e243fc73,Rocketman,Andy Gildehaus,5,https://rocketman.gildehaus.net/privacy
Games & fun,https://assistant.google.com/services/a/uid/000000347a222064,Stone Paper Scissors,Ian Gilham,3.7,https://rock-paper-scissors-69ee1.appspot.com/static/privacy-policy.txt
Weather,https://assistant.google.com/services/a/uid/0000001a45b9376f,Fly Today,Radical Sloth,4,https://ryda.ca/flytoday/privacy/
Games & fun,https://assistant.google.com/services/a/uid/000000316cf1c45d,The Spelling Bee,Kevin Huang,3,https://s3.amazonaws.com/aog-the-spelling-bee/PrivacyPolicy.txt
Food & drink,https://assistant.google.com/services/a/uid/000000b5483d5d23,Lunch Fox,Southern Made,5,https://s3.amazonaws.com/lunch-fox/lunch_fox_privacy_policy.html
Smart home,https://assistant.google.com/services/a/uid/0000000563171c41,EQL Ripple,EQL,5,https://s3.amazonaws.com/quanta-privacy-policy/alexa-privacy-policy.html
Smart home,https://assistant.google.com/services/a/uid/000000ca9f8815f1,Pentagon Control,EQL,0,https://s3.amazonaws.com/quanta-privacy-policy/alexa-privacy-policy.html
Smart home,https://assistant.google.com/services/a/uid/000000b8b3b6a4f6,Qubi control,EQL,0,https://s3.amazonaws.com/quanta-privacy-policy/alexa-privacy-policy.html
Health & fitness,https://assistant.google.com/services/a/uid/000000a24fdc40db,Rx Savings,Rx Savings Solutions,4,https://s3.amazonaws.com/rxss-policy/Rx_Savings_Privacy_Policy.pdf
Smart home,https://assistant.google.com/services/a/uid/00000010392f63cc,arnoo security,yuchangxing,5,https://s3.us-west-2.amazonaws.com/leedarson-rom-update-oregon-s3-bucket/ANDROID/lds/privacy_policy.html
Health & fitness,https://assistant.google.com/services/a/uid/000000ad0ef5db5c,Medical Alarm,Frontier Networks,3.8,https://s3-ap-southeast-2.amazonaws.com/fn-public-documents/medical_alarm_privacy_policy.html
Travel & transportation,https://assistant.google.com/services/a/uid/000000fd4879044d,Glasgow Subway,,5,https://s3-eu-west-1.amazonaws.com/npnres/glasgow-subway/Glasgow+Subway+Privacy+Policy+-+Google+Action.pdf
Smart home,https://assistant.google.com/services/a/uid/000000964e3a3013,arnoo eu security,ldxPlatform@gmail.com,0,https://s3-us-west-2.amazonaws.com/leedarson-rom-update-oregon-s3-bucket/ANDROID/lds/privacy_policy-20190214.html
Smart home,https://assistant.google.com/services/a/uid/0000002955f17fbc,Immax Neo Security,ldxPlatform@gmail.com,0,https://s3-us-west-2.amazonaws.com/leedarson-rom-update-oregon-s3-bucket/ANDROID/lds/PrivacyPolicy_IMMAX_security.htm
Smart home,https://assistant.google.com/services/a/uid/000000a8deeb199a,defiant system,leedarson,5,https://s3-us-west-2.amazonaws.com/leedarson-rom-update-oregon-s3-bucket/ANDROID/ZIGBEE/S007/PrivacyPolicy.html
Business & finance,https://assistant.google.com/services/a/uid/0000001380ca5c54,Sam's Club Credit Card,Synchrony,5,https://samsclub.syf.com/essimages/cs/groups/ess_webasset/generic/@sams/en/html/ess004866.html
Business & finance,https://assistant.google.com/services/a/uid/000000fabcfd57c9,Super Bank,Aytacworld,5,https://sb.ayt.ac/privacy
Smart home,https://assistant.google.com/services/a/uid/000000cfe0b3ae64,Amdocs Connected Home,Amdocs,0,https://sb.ch.amdocs.com/integration/Amdocs%20-%20Google%20Connected%20Home%20Skill%20Terms.pdf
Sports,https://assistant.google.com/services/a/uid/000000b1ea9e8e4e,ScoreStream,,4.8,https://scorestream.com/misc/privacyPolicy
Smart home,https://assistant.google.com/services/a/uid/00000090321dcf8b,Sense,"Sense Labs, Inc.",3.6,https://sense.com/privacy.html
Business & finance,https://assistant.google.com/services/a/uid/000000be44647da0,Settle Up,Step Up Labs,4.3,https://settleup.io/privacy_policy.html
Travel & transportation,https://assistant.google.com/services/a/uid/000000749982e50a,SG Travel Buddy,Kelum Senanayake,5,https://sg-travel-buddy-bc2b0.firebaseapp.com/privacy_policy.html
Shopping,https://assistant.google.com/services/a/uid/00000060c1f37255,Continente Siga,Shelf.AI,5,https://shelf.ai/privacy
Shopping,https://assistant.google.com/services/a/uid/000000a36e92c215,SmartContinente,Shelf.AI,4.2,https://shelf.ai/tos
Smart home,https://assistant.google.com/services/a/uid/000000b13587978b,blue robotic,Blaupunkt Robotics,4.7,https://shop.blaupunktrobotics.eu/en/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000b3ba03b4e1,bluebot robotic,Blaupunkt Robotics,3.7,https://shop.blaupunktrobotics.eu/en/privacy-policy/
Kids & family,https://assistant.google.com/services/a/uid/0000004e6f826482,Short Bedtime Stories,,5,https://short-bedtime-stories.weebly.com/privacy.html
Travel & transportation,https://assistant.google.com/services/a/uid/000000e90a14a222,Milan Airports,,4,https://sites.google.com/airport.ai/milanairports
Health & fitness,https://assistant.google.com/services/a/uid/000000b89fbe3739,BMH Companion,Baby Memorial Hospital,1,https://sites.google.com/babymhospital.org/bmh-companion/home
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000d28b7288a7,Silicon Valley Horoscope,,5,https://sites.google.com/corp/google.com/silicon-valley-horoscope/home
Education & reference,https://assistant.google.com/services/a/uid/000000516ec97dae,Dev Roma,Antonella Blasetti,4.3,https://sites.google.com/go-lab.org/privacy-policy/
Kids & family,https://assistant.google.com/services/a/uid/0000003a10a69b7d,Pikachu Talk,The Pokémon Company,3.9,https://sites.google.com/pokemon.co.jp/pikachu-talk/google/privacy-policy/outside-japan
Smart home,https://assistant.google.com/services/a/uid/0000001a1a0014b8,Eye See,,4.8,https://sites.google.com/qq.com/eye-see-privacy/
Food & drink,https://assistant.google.com/services/a/uid/0000008000c8e58f,Mess Carte,DP,3.5,https://sites.google.com/s/1djIAi6qbRSlpKW7xZdzQmXb8I_g329Uq/p/1dHRkaH_Ru1OLgxZjRAtNrTuP4C5tusr3/edit
Travel & transportation,https://assistant.google.com/services/a/uid/0000001cbb99db07,Adventure Trivia,Arpit Rastogi,5,https://sites.google.com/s/1OgL2geK5JPmkKN9CPVV1BlAc_KQM7TwE/p/18fRa34SqWyJXd_C175U3_u0KCBq8_3tQ/edit
Education & reference,https://assistant.google.com/services/a/uid/000000a386f262a7,Historic India Quiz,Parinay Kala,5,https://sites.google.com/s/1s_PGypJNPzHGVMt_IJxOqPPXRcH_jadj/p/1R_5RZNnJzTtCX9yyMogMLXiO0fQ0_zOu/edit?authuser=2
Kids & family,https://assistant.google.com/services/a/uid/000000340d603da6,Animal fun fact,SL Studio,0,https://sites.google.com/site/animalfunquizpolicy/
Health & fitness,https://assistant.google.com/services/a/uid/000000b9750fe07b,Fitness Calculator,Genpack,4,https://sites.google.com/site/fitnessprivacypolicy/
Arts & lifestyle,https://assistant.google.com/services/a/uid/0000009502eac373,Horo guide,Otance,4.2,https://sites.google.com/site/horoguideprivacy/
Weather,https://assistant.google.com/services/a/uid/000000533364b564,UV Check,Jing Sha,3.9,https://sites.google.com/site/uvcheckapp/
Food & drink,https://assistant.google.com/services/a/uid/000000a3cf8cf1d8,Sutherland AI,,0,https://sites.google.com/suth.digital/conversationalai/sutherland-ai
Food & drink,https://assistant.google.com/services/a/uid/00000095c129f2f7,Sutherland Grocers,Ben Shan,0,https://sites.google.com/suth.digital/conversationalai/sutherland-grocers
Business & finance,https://assistant.google.com/services/a/uid/0000009aa496a5fc,Exchange Coin,Upside,5,https://sites.google.com/upsidelab.io/exchangecoin-privacypolicy
Education & reference,https://assistant.google.com/services/a/uid/0000006639ed65eb,Physics Buddy,Riti Garg,4.1,https://sites.google.com/view/action-app-privacy/home
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000044d174c121,Lucky Horoscope,,3.7,https://sites.google.com/view/actionprivacy/home
Sports,https://assistant.google.com/services/a/uid/000000311d88994f,Quiz me on cricket world,Yash lakhani,4.9,https://sites.google.com/view/aniccleague/home
Kids & family,https://assistant.google.com/services/a/uid/0000004b99908280,Animal Questions,,0,https://sites.google.com/view/animal-questions/home
Sports,https://assistant.google.com/services/a/uid/00000074420de951,Western State Race,https://ido-green.appspot.com,4.5,https://sites.google.com/view/aog-western-state-100-mile/home
Games & fun,https://assistant.google.com/services/a/uid/000000f48842d916,Ashi's Buddy,,3,https://sites.google.com/view/ashisbuddy
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000c2beffe945,Aurora colors,mnrz,4,https://sites.google.com/view/aurora-colors/p%C3%A1gina-principal?authuser=1
Communication & social,https://assistant.google.com/services/a/uid/0000008591802374,Baba Black Sheep,Biju Neyyan,3.7,https://sites.google.com/view/baba-black-sheep/privacy-policy
Smart home,https://assistant.google.com/services/a/uid/000000db19a89b1d,Bed Control,Håkon Gimse,3.7,https://sites.google.com/view/bedcontrolprivacypolicy/home
Food & drink,https://assistant.google.com/services/a/uid/0000001b71da021f,Beer Guru,Walker,3.1,https://sites.google.com/view/beer-guru-privacy-policy/home
Business & finance,https://assistant.google.com/services/a/uid/0000003e08d8dba9,Blockchain Activity,,3.9,https://sites.google.com/view/blockchainactivitybot/home
Music & audio,https://assistant.google.com/services/a/uid/00000054abb248d6,bluarmor radio,AptEner Mechatronics Private Limited,5,https://sites.google.com/view/bluarmor-radio-privacy-policy/home
Education & reference,https://assistant.google.com/services/a/uid/0000001be4740a1c,Chanakya's Story,,0,https://sites.google.com/view/channkyas
Education & reference,https://assistant.google.com/services/a/uid/000000802f41551e,Check Your Tech,Anshul Sharma,4.9,https://sites.google.com/view/checkyourtech/home
Smart home,https://assistant.google.com/services/a/uid/00000050f481fe3f,Dr. coabot,Coayu Robot,3,https://sites.google.com/view/coayu-pp-en
Kids & family,https://assistant.google.com/services/a/uid/000000115504c415,Happy Animal Sound Time,Ednovation Pte Ltd,0,https://sites.google.com/view/commapp/home
Food & drink,https://assistant.google.com/services/a/uid/000000bb5e494fa8,Confused Junkie,Ajai Dubey,5,https://sites.google.com/view/confusedjunkie-en/home
Smart home,https://assistant.google.com/services/a/uid/000000ccaba11724,Conga robotic,,1.9,https://sites.google.com/view/conga-en
Smart home,https://assistant.google.com/services/a/uid/00000076485267e0,conga vacuumer,Cecotec Innovaciones S.L.,0,https://sites.google.com/view/conga-en
Games & fun,https://assistant.google.com/services/a/uid/0000001cc076f1e6,Pep me up,,3.3,https://sites.google.com/view/creepercow/peptalk-policy
Education & reference,https://assistant.google.com/services/a/uid/000000191e84e1c6,Cricket's God,,5,https://sites.google.com/view/cricketgod
Sports,https://assistant.google.com/services/a/uid/000000bca90f441d,Cricket knowledge,,4.8,https://sites.google.com/view/cricketquiz/home
Sports,https://assistant.google.com/services/a/uid/00000094dedb1ffe,cricket score,Vaibhav Malpani,4.4,https://sites.google.com/view/cricket-score-privacy-policy/home
Business & finance,https://assistant.google.com/services/a/uid/0000003de8bca0f4,Crypto Coin,Rahul M R,2.8,https://sites.google.com/view/cryptocoin/home
Productivity,https://assistant.google.com/services/a/uid/000000b5fcd16173,Belgian Social Security Office,Smals,4.2,https://sites.google.com/view/dimona-privacy-policy
Local,https://assistant.google.com/services/a/uid/000000a919eb3b2d,EventHub,Austin S.,4.4,https://sites.google.com/view/event-finder-app
Local,https://assistant.google.com/services/a/uid/00000014c0caf0d3,Event Locator,Austin S.,3.4,https://sites.google.com/view/event-finder-app/home
Health & fitness,https://assistant.google.com/services/a/uid/000000e6f889ead7,Eyes workout,Aimylogic,2.5,https://sites.google.com/view/eyes-workout/
Education & reference,https://assistant.google.com/services/a/uid/000000d54e8583ef,Facts about India,,3.7,https://sites.google.com/view/facts-about-india/home
Weather,https://assistant.google.com/services/a/uid/000000b049ea0ba8,PM 10 in Korea,isulnara,4.2,https://sites.google.com/view/finedust
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000066748415ed,Flim quiz,Prithvi Sutrave,5,https://sites.google.com/view/flimquiz/home
Music & audio,https://assistant.google.com/services/a/uid/000000a3e0af5a84,Flute Sounds,English King,4.3,https://sites.google.com/view/flutesounds/privacy-policy
Food & drink,https://assistant.google.com/services/a/uid/000000a59740cd0c,Food Master,Riya,1,https://sites.google.com/view/foodmasterprivacypolicy/home
Music & audio,https://assistant.google.com/services/a/uid/00000006b59721c3,Frequency Generator,Tucker Willenborg,3.7,https://sites.google.com/view/frequency-generator-privacy/
Games & fun,https://assistant.google.com/services/a/uid/000000317e5b9332,Funny Jokes,Rakshit Choudhary,4,https://sites.google.com/view/funnyjokesss/home
Business & finance,https://assistant.google.com/services/a/uid/000000b55d049c68,Car Insurance Quotes,TopVoiceBots,0,https://sites.google.com/view/ga-2-car-insurance
Shopping,https://assistant.google.com/services/a/uid/000000a71d860519,Cyber Monday,,0,https://sites.google.com/view/ga-cyber-monday
Local,https://assistant.google.com/services/a/uid/0000007c0b480efd,Galgotias unifest,,4.8,https://sites.google.com/view/galgotias-unifest/home
Business & finance,https://assistant.google.com/services/a/uid/000000b1f714b431,Current Mortgage Rates,TopVoiceBots,0,https://sites.google.com/view/ga-mortgage-rates
"Movies, photos & TV",https://assistant.google.com/services/a/uid/00000080450a49f2,Goodbye Boredom,,5,https://sites.google.com/view/goodbyeboredom/home
Games & fun,https://assistant.google.com/services/a/uid/000000289a269df7,Good Quotes,Suvansh Rana,5,https://sites.google.com/view/good-quotes-action/
Health & fitness,https://assistant.google.com/services/a/uid/00000049c50a17d2,Grandmothers Remedies,Keshav Joshi,5,https://sites.google.com/view/grandmothers-remedies/home
Games & fun,https://assistant.google.com/services/a/uid/0000005d731abef7,Great Motivational Quotes,Süleyman NC,0,https://sites.google.com/view/greatmotivation/ana-sayfa
"Movies, photos & TV",https://assistant.google.com/services/a/uid/000000adc12ba6e0,movies suggestion by aayush,Aayush Kumar,0,https://sites.google.com/view/hacktoberfest-faq/home
Education & reference,https://assistant.google.com/services/a/uid/0000005d203920dc,History of Hacking,Sayak Naskar,4.9,https://sites.google.com/view/history-hacking/
Local,https://assistant.google.com/services/a/uid/000000d0c0e09bf6,HMR Function Helper,AI Team,5,https://sites.google.com/view/hmrfunction-policy/home
Smart home,https://assistant.google.com/services/a/uid/000000e3ff551c07,imonitor smarthome,iMonitor Solutions India Pvt Ltd,4.8,https://sites.google.com/view/imonitorsmarthome/home
Food & drink,https://assistant.google.com/services/a/uid/00000095fe0d130a,Indian recipes,vijaysiva,0,https://sites.google.com/view/indina-recipes/home
Business & finance,https://assistant.google.com/services/a/uid/00000017c9793e80,Infosys Quote Agent,Infosys Ltd,4,https://sites.google.com/view/infosys-quote-agent-privacy/home
Local,https://assistant.google.com/services/a/uid/000000304f5bcd80,India Smart Program,Priyanka Chaudhary,5,https://sites.google.com/view/ismart-program/home?authuser=1
Education & reference,https://assistant.google.com/services/a/uid/0000004c603c4228,Jeff Bezos Biography,,5,https://sites.google.com/view/jeffbezoslife
Education & reference,https://assistant.google.com/services/a/uid/000000e3f0d25e14,Jhansi's Rani Story,,0,https://sites.google.com/view/jhansisrani
Music & audio,https://assistant.google.com/services/a/uid/000000ef32cf44c0,Lullaby Singer,Qazi Omair Ahmed,3.4,https://sites.google.com/view/lullaby-singer-privacy-policy
Business & finance,https://assistant.google.com/services/a/uid/000000e0ed93f80f,LV,LV=,0,https://sites.google.com/view/lv-privacy-policy/home
Education & reference,https://assistant.google.com/services/a/uid/0000009321fabe39,Mahatma Gandhi's Life,,4,https://sites.google.com/view/mahtamaslife
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000021e0f1aefa,Maratha Empire,Pavan Wagh,5,https://sites.google.com/view/marathaempire-privacypolicy/home
Sports,https://assistant.google.com/services/a/uid/000000361c1025f7,Maya baby,Kajol Sangole,0,https://sites.google.com/view/mayababyprivacypolicy/home
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000ec6f3caecf,Men Outfit Advisor,,0,https://sites.google.com/view/men-outfit-advisor/home
Sports,https://assistant.google.com/services/a/uid/000000b860466b7c,moon players,vijaysiva,5,https://sites.google.com/view/moon-cricket-players/home
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000f75e2dc466,Moon Horoscope,vijaysiva,4,https://sites.google.com/view/moon-horoscope/home
"Movies, photos & TV",https://assistant.google.com/services/a/uid/000000efdca8d4e1,movie desk,DefDesk,4,https://sites.google.com/view/moviedeskprivacypolicy/home
"Movies, photos & TV",https://assistant.google.com/services/a/uid/0000007d420ea997,Movie Mood Advisor,,0,https://sites.google.com/view/movie-mood-advisor
Sports,https://assistant.google.com/services/a/uid/000000c3f3c074b0,Mr.Messi Trivia,,5,https://sites.google.com/view/mrmessitrivia/home
Education & reference,https://assistant.google.com/services/a/uid/000000f353dde5ab,Munshi Premchand's Story,,0,https://sites.google.com/view/munshisprem
Music & audio,https://assistant.google.com/services/a/uid/0000003cb3db991d,Music chart buddy,Thangman22,4.4,https://sites.google.com/view/musicchartbuddyprivacypolicy/home
Music & audio,https://assistant.google.com/services/a/uid/0000008659e87d5e,Music Scales,Kuba Wolanin,4.5,https://sites.google.com/view/musicscales/home
Arts & lifestyle,https://assistant.google.com/services/a/uid/00000004bda11cc8,Muslim Companion,H&W,4.5,https://sites.google.com/view/muslimcompanion/privacy-policy
Food & drink,https://assistant.google.com/services/a/uid/0000005ee7709f7f,My Food Kingdom,,5,https://sites.google.com/view/myfoodkingdom/home
Productivity,https://assistant.google.com/services/a/uid/0000008002849baa,My Gratitude Journal,My Gratitude Journal,5,https://sites.google.com/view/mygratitudejournal/home
Games & fun,https://assistant.google.com/services/a/uid/0000000824c44341,My Lucky Number,Shivam Sharma,3.9,https://sites.google.com/view/myluckynumber
Education & reference,https://assistant.google.com/services/a/uid/000000b512801ced,mysql functions,vijaysiva,0,https://sites.google.com/view/mysqlfunctions/home
News & magazines,https://assistant.google.com/services/a/uid/00000057e5c5715d,News Guy,,3.9,https://sites.google.com/view/newsguy/privacy-policy
Travel & transportation,https://assistant.google.com/services/a/uid/000000a5f2a29352,New York Bus,,3.5,https://sites.google.com/view/newyorkbus
Weather,https://assistant.google.com/services/a/uid/000000d2bbb02970,Panama Surf Report,@greenido,4.4,https://sites.google.com/view/panama-surf-report/home
Travel & transportation,https://assistant.google.com/services/a/uid/0000007db3da2ebc,park detail,Nitin Sharma,5,https://sites.google.com/view/parkdetail-lucknow/home
Education & reference,https://assistant.google.com/services/a/uid/000000aa95d46908,pedia desk,,3,https://sites.google.com/view/pediadeskprivacypolicy/home
Games & fun,https://assistant.google.com/services/a/uid/00000048a1cd313e,Penguin Joke,Kyran G,3.1,https://sites.google.com/view/penguin-joke
Business & finance,https://assistant.google.com/services/a/uid/0000008e75d66aaa,Piggy Piggy,,4.6,https://sites.google.com/view/piggy-piggy
Travel & transportation,https://assistant.google.com/services/a/uid/000000fd6ae86227,Plan your Visit,Faiza Abdul Kareem,5,https://sites.google.com/view/planyourvisitprivacypolicy/home
Education & reference,https://assistant.google.com/services/a/uid/00000028d9640f1c,Port Quiz,Sayak Naskar,4.8,https://sites.google.com/view/port-quiz/
Weather,https://assistant.google.com/services/a/uid/000000d39c33c60e,World Air Quality Index,isulnara,4,https://sites.google.com/view/privacy-aqi/
Sports,https://assistant.google.com/services/a/uid/000000f882472c64,FIFA Ballon d'Or Trivia,Ashutosh Datt Sharma,4.8,https://sites.google.com/view/privacypolicyforballondortrivi/home
Travel & transportation,https://assistant.google.com/services/a/uid/000000a7c9928b7c,Bamboo Airways,Mr. The,5,https://sites.google.com/view/privacypolicyforbambooairways
Kids & family,https://assistant.google.com/services/a/uid/0000002d0208b387,Coder Decoder,Manjeet Haryani,4.8,https://sites.google.com/view/privacypolicyforcoderdecoder/home
